"id","acronym","name","description","url","created_at","updated_at"
"34","FSI","Fundamentos de Sistemas de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332823","2025-04-25 06:52:01","2025-04-25 06:52:01"
"35","GPI","Gestão de Projectos Informáticos","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778809","2025-04-25 06:52:01","2025-04-25 06:52:01"
"36","GSI","Segurança e Gestão de Sistemas de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778805","2025-04-25 06:52:01","2025-04-25 06:52:01"
"37","IAJ","Inteligência Artificial para Jogos","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332807","2025-04-25 06:52:01","2025-04-25 06:52:01"
"38","IEmp","Integração Empresarial","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332820","2025-04-25 06:52:01","2025-04-25 06:52:01"
"39","IR","Introdução à Robótica","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332809","2025-04-25 06:52:01","2025-04-25 06:52:01"
"40","LN","Língua Natural","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332794","2025-04-25 06:52:01","2025-04-25 06:52:01"
"41","LP","Linguagens de Programação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778796","2025-04-25 06:52:01","2025-04-25 06:52:01"
"42","MDJ","Metodologia de Desenvolvimento de Jogos","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332808","2025-04-25 06:52:01","2025-04-25 06:52:01"
"43","P3D","Programação 3D","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332804","2025-04-25 06:52:01","2025-04-25 06:52:01"
"44","PADI","Planeamento, Aprendizagem e Decisão Inteligente","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332795","2025-04-25 06:52:01","2025-04-25 06:52:01"
"45","PAva","Programação Avançada","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778810","2025-04-25 06:52:01","2025-04-25 06:52:01"
"46","PCM","Produção de Conteúdos Multimédia","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332803","2025-04-25 06:52:01","2025-04-25 06:52:01"
"47","PF","Processamento da Fala","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332825","2025-04-25 06:52:01","2025-04-25 06:52:01"
"48","PIV","Processamento de Imagem e Visão","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332810","2025-04-25 06:52:01","2025-04-25 06:52:01"
"49","PP","Procura e Planeamento","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332797","2025-04-25 06:52:01","2025-04-25 06:52:01"
"50","PRI","Processamento e Recuperação de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332818","2025-04-25 06:52:01","2025-04-25 06:52:01"
"51","RCR","Representação do Conhecimento e Raciocínio","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332798","2025-04-25 06:52:01","2025-04-25 06:52:01"
"52","RSIHR","Robótica Social e Interação Humanos-Robôs","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332811","2025-04-25 06:52:01","2025-04-25 06:52:01"
"53","RV","Realidade Virtual","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332801","2025-04-25 06:52:01","2025-04-25 06:52:01"
"54","SEC","Sistemas de Elevada Confiabilidade","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778806","2025-04-25 06:52:01","2025-04-25 06:52:01"
"55","SIRS","Segurança Informática em Redes e Sistemas","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778803","2025-04-25 06:52:01","2025-04-25 06:52:01"
"56","SRM","Sistemas Robóticos em Manipulação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/1971853845332812","2025-04-25 06:52:01","2025-04-25 06:52:01"
"57","SSof","Segurança em Software","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778802","2025-04-25 06:52:01","2025-04-25 06:52:01"
"58","TIDB","Tecnologias de Informação e Decisão Biomédica","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778800","2025-04-25 06:52:01","2025-04-25 06:52:01"
"59","TVS","Teste e Validação de Software","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778811","2025-04-25 06:52:01","2025-04-25 06:52:01"
"60","VI","Visualização de Informação","","https://fenix.tecnico.ulisboa.pt/cursos/meic-a/disciplina-curricular/564478961778813","2025-04-25 06:52:01","2025-04-25 06:52:01"
